Participant ID,Full Name,Email Address,Phone Number,Department,Registration Status,Registration Date
TCET-GIVEAWAY-0021,RAJAT GUPTA,rajat.gupta21@tcetmumbai.in,+91 8883632509,Civil Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0022,ANANYA JAIN,ananya.jain22@tcetmumbai.in,+91 7435482622,External Guest / Attendee,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0023,TANVI AGARWAL,tanvi.agarwal23@tcetmumbai.in,+91 8350604821,Organizing Committee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0024,KABIR SHAH,kabir.shah24@tcetmumbai.in,+91 8152863241,Mechanical Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0025,ANANYA YADAV,ananya.yadav25@tcetmumbai.in,+91 9730800558,Computer Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0026,ABHISHEK GUPTA,abhishek.gupta26@tcetmumbai.in,+91 9821253685,Computer Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0027,TUSHAR DESHMUKH,tushar.deshmukh27@tcetmumbai.in,+91 8984564363,Civil Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0028,ATHARVA PATIL,atharva.patil28@tcetmumbai.in,+91 9240696218,External Guest / Attendee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0029,VIVAAN ROY,vivaan.roy29@tcetmumbai.in,+91 9862751433,Electronics & Telecommunication,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0030,KAUSTUBH BOSE,kaustubh.bose30@tcetmumbai.in,+91 9055836892,Information Technology,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0031,KARAN YADAV,karan.yadav31@tcetmumbai.in,+91 9217906647,Internet of Things,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0032,ADITI DAS,aditi.das32@tcetmumbai.in,+91 9157923146,External Guest / Attendee,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0033,TANVI JOSHI,tanvi.joshi33@tcetmumbai.in,+91 7895816041,Computer Engineering,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0034,SHAURYA GOEL,shaurya.goel34@tcetmumbai.in,+91 9428478488,Electronics & Telecommunication,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0035,RAHUL KUMAR,rahul.kumar35@tcetmumbai.in,+91 8450360802,Organizing Committee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0036,MEERA NAIR,meera.nair36@tcetmumbai.in,+91 9493600309,Organizing Committee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0037,SAI SINGHAL,sai.singhal37@tcetmumbai.in,+91 7837458153,External Guest / Attendee,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0038,PRANAV CHOPRA,pranav.chopra38@tcetmumbai.in,+91 8101315954,Organizing Committee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0039,PRATEEK GOEL,prateek.goel39@tcetmumbai.in,+91 9592018313,Computer Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0040,ROHAN HEGDE,rohan.hegde40@tcetmumbai.in,+91 9522247787,Information Technology,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0041,PRANAV GUPTA,pranav.gupta41@tcetmumbai.in,+91 9749661778,Computer Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0042,VIHAAN PILLAI,vihaan.pillai42@tcetmumbai.in,+91 7716689561,Artificial Intelligence & Data Science,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0043,VARUN MEHTA,varun.mehta43@tcetmumbai.in,+91 7573790188,Artificial Intelligence & Data Science,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0044,HARSH SEN,harsh.sen44@tcetmumbai.in,+91 8125734666,Artificial Intelligence & Data Science,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0045,SAHIL SHINDE,sahil.shinde45@tcetmumbai.in,+91 9294522575,External Guest / Attendee,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0046,UTKARSH NAIR,utkarsh.nair46@tcetmumbai.in,+91 9633658314,Electronics & Telecommunication,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0047,TANMAY GUPTA,tanmay.gupta47@tcetmumbai.in,+91 8641909040,Organizing Committee,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0048,CHINMAY SINGHAL,chinmay.singhal48@tcetmumbai.in,+91 9070275723,Electronics & Telecommunication,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0049,SHRUTI JOSHI,shruti.joshi49@tcetmumbai.in,+91 8928835858,Artificial Intelligence & Data Science,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0050,UTKARSH PILLAI,utkarsh.pillai50@tcetmumbai.in,+91 7590668106,Electronics & Telecommunication,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0051,ISHA HEGDE,isha.hegde51@tcetmumbai.in,+91 9349647298,Civil Engineering,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0052,OMKAR BOSE,omkar.bose52@tcetmumbai.in,+91 7163820812,Artificial Intelligence & Data Science,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0053,YASH PANDEY,yash.pandey53@tcetmumbai.in,+91 8832528607,Internet of Things,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0054,VIKAS KAMATH,vikas.kamath54@tcetmumbai.in,+91 9615336416,Civil Engineering,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0055,CHINMAY TIWARI,chinmay.tiwari55@tcetmumbai.in,+91 9342890007,Internet of Things,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0056,AYAAN JAIN,ayaan.jain56@tcetmumbai.in,+91 9847540066,Organizing Committee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0057,NIKHIL BANSAL,nikhil.bansal57@tcetmumbai.in,+91 7773592366,Civil Engineering,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0058,PRANAV CHAVAN,pranav.chavan58@tcetmumbai.in,+91 9598555506,Civil Engineering,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0059,NIKHIL SEN,nikhil.sen59@tcetmumbai.in,+91 9670255227,Computer Engineering,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0060,AARYAN DESHMUKH,aaryan.deshmukh60@tcetmumbai.in,+91 7521170398,Electronics & Telecommunication,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0061,MEERA KULKARNI,meera.kulkarni61@tcetmumbai.in,+91 7548562346,External Guest / Attendee,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0062,MUHAMMAD HEGDE,muhammad.hegde62@tcetmumbai.in,+91 9468761074,External Guest / Attendee,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0063,MAYANK GARG,mayank.garg63@tcetmumbai.in,+91 9160492869,Organizing Committee,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0064,VIVAAN YADAV,vivaan.yadav64@tcetmumbai.in,+91 9374875306,Computer Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0065,KUNAL GHOSH,kunal.ghosh65@tcetmumbai.in,+91 7664858147,Information Technology,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0066,MANDAR IYER,mandar.iyer66@tcetmumbai.in,+91 8914469675,Artificial Intelligence & Data Science,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0067,TANVI CHATTERJEE,tanvi.chatterjee67@tcetmumbai.in,+91 9162303385,Computer Engineering,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0068,AKASH GOEL,akash.goel68@tcetmumbai.in,+91 9664019255,Mechanical Engineering,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0069,TUSHAR DUBEY,tushar.dubey69@tcetmumbai.in,+91 7584161145,Computer Engineering,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0070,ALOK SINGHAL,alok.singhal70@tcetmumbai.in,+91 7600231608,Artificial Intelligence & Data Science,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0071,AKASH TIWARI,akash.tiwari71@tcetmumbai.in,+91 8718199647,Information Technology,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0072,ABHISHEK KAPOOR,abhishek.kapoor72@tcetmumbai.in,+91 8841697957,Mechanical Engineering,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0073,POOJA SHARMA,pooja.sharma73@tcetmumbai.in,+91 9728107227,Electronics & Telecommunication,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0074,RAHUL BOSE,rahul.bose74@tcetmumbai.in,+91 7028128243,Internet of Things,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0075,OMKAR BANERJEE,omkar.banerjee75@tcetmumbai.in,+91 9294784151,Civil Engineering,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0076,YASH RAO,yash.rao76@tcetmumbai.in,+91 7911379435,External Guest / Attendee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0077,ROHAN ROY,rohan.roy77@tcetmumbai.in,+91 8034092881,External Guest / Attendee,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0078,SIDDHESH MALHOTRA,siddhesh.malhotra78@tcetmumbai.in,+91 9160196251,External Guest / Attendee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0079,ROHAN BHAT,rohan.bhat79@tcetmumbai.in,+91 7460289978,Information Technology,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0080,GAURAV PANDEY,gaurav.pandey80@tcetmumbai.in,+91 9116559160,Artificial Intelligence & Data Science,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0081,MANISH SEN,manish.sen81@tcetmumbai.in,+91 8913791359,Internet of Things,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0082,ATHARVA BOSE,atharva.bose82@tcetmumbai.in,+91 8847750001,Civil Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0083,DEEPAK CHAVAN,deepak.chavan83@tcetmumbai.in,+91 8401421545,External Guest / Attendee,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0084,VARUN CHATTERJEE,varun.chatterjee84@tcetmumbai.in,+91 8223919263,Internet of Things,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0085,KAUSTUBH GHOSH,kaustubh.ghosh85@tcetmumbai.in,+91 7124947083,Civil Engineering,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0086,TANMAY SINGH,tanmay.singh86@tcetmumbai.in,+91 9106519057,Mechanical Engineering,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0087,AARAV MALHOTRA,aarav.malhotra87@tcetmumbai.in,+91 7263979765,External Guest / Attendee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0088,SIDDHESH KULKARNI,siddhesh.kulkarni88@tcetmumbai.in,+91 7026023835,Mechanical Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0089,DIYA SINGHAL,diya.singhal89@tcetmumbai.in,+91 9742151116,Mechanical Engineering,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0090,PRATEEK IYER,prateek.iyer90@tcetmumbai.in,+91 7427196855,Mechanical Engineering,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0091,RAJAT NAIR,rajat.nair91@tcetmumbai.in,+91 7233204741,Electronics & Telecommunication,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0092,PARI VERMA,pari.verma92@tcetmumbai.in,+91 8506964389,Electronics & Telecommunication,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0093,MUHAMMAD MUKHERJEE,muhammad.mukherjee93@tcetmumbai.in,+91 8408795169,Organizing Committee,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0094,SAI AGARWAL,sai.agarwal94@tcetmumbai.in,+91 8489777114,Civil Engineering,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0095,MANISH CHAKRABORTY,manish.chakraborty95@tcetmumbai.in,+91 8374966917,Information Technology,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0096,SIDDHARTH MALHOTRA,siddharth.malhotra96@tcetmumbai.in,+91 9570333947,Organizing Committee,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0097,HARSH YADAV,harsh.yadav97@tcetmumbai.in,+91 8903527024,External Guest / Attendee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0098,SHAURYA SHARMA,shaurya.sharma98@tcetmumbai.in,+91 9623617035,Computer Engineering,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0099,HARSH TIWARI,harsh.tiwari99@tcetmumbai.in,+91 8512424095,Civil Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0100,ARJUN IYER,arjun.iyer100@tcetmumbai.in,+91 7892742570,Computer Engineering,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0101,REYANSH GUPTA,reyansh.gupta101@tcetmumbai.in,+91 7717373990,Computer Engineering,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0102,ISHAAN DESHMUKH,ishaan.deshmukh102@tcetmumbai.in,+91 8829100482,External Guest / Attendee,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0103,ARNAV REDDY,arnav.reddy103@tcetmumbai.in,+91 7398102440,Artificial Intelligence & Data Science,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0104,RIYA HEGDE,riya.hegde104@tcetmumbai.in,+91 9765214449,Organizing Committee,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0105,MEERA JAIN,meera.jain105@tcetmumbai.in,+91 9454099103,Artificial Intelligence & Data Science,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0106,ALOK BANERJEE,alok.banerjee106@tcetmumbai.in,+91 9287413852,Information Technology,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0107,DEEPAK GUPTA,deepak.gupta107@tcetmumbai.in,+91 7270490674,Internet of Things,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0108,ADVAITH SHETTY,advaith.shetty108@tcetmumbai.in,+91 7249582635,Mechanical Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0109,ROHIT SHINDE,rohit.shinde109@tcetmumbai.in,+91 7647944291,Mechanical Engineering,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0110,KAVYA MUKHERJEE,kavya.mukherjee110@tcetmumbai.in,+91 8191890922,Information Technology,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0111,AARYAN HEGDE,aaryan.hegde111@tcetmumbai.in,+91 7976530042,Computer Engineering,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0112,REYANSH SEN,reyansh.sen112@tcetmumbai.in,+91 8625445889,Artificial Intelligence & Data Science,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0113,SHRUTI MISHRA,shruti.mishra113@tcetmumbai.in,+91 7516233684,External Guest / Attendee,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0114,POOJA SHETTY,pooja.shetty114@tcetmumbai.in,+91 7529058205,Information Technology,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0115,SAMARTH PANDEY,samarth.pandey115@tcetmumbai.in,+91 7899399354,Mechanical Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0116,KARAN SEN,karan.sen116@tcetmumbai.in,+91 9206827202,Mechanical Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0117,ARJUN GUPTA,arjun.gupta117@tcetmumbai.in,+91 9701560200,Organizing Committee,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0118,REYANSH CHAKRABORTY,reyansh.chakraborty118@tcetmumbai.in,+91 7311932612,Civil Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0119,ZOYA TIWARI,zoya.tiwari119@tcetmumbai.in,+91 9382497187,Information Technology,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0120,AYAAN DAS,ayaan.das120@tcetmumbai.in,+91 7734642593,External Guest / Attendee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0121,TANVI PATIL,tanvi.patil121@tcetmumbai.in,+91 8264489597,Civil Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0122,NIKHIL MEHTA,nikhil.mehta122@tcetmumbai.in,+91 8532978297,Civil Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0123,ROHIT AGARWAL,rohit.agarwal123@tcetmumbai.in,+91 9666889914,Civil Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0124,MEERA MITTAL,meera.mittal124@tcetmumbai.in,+91 8277896632,Artificial Intelligence & Data Science,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0125,SAURABH YADAV,saurabh.yadav125@tcetmumbai.in,+91 7026834084,Mechanical Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0126,PARI RAO,pari.rao126@tcetmumbai.in,+91 8749260799,Mechanical Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0127,SNEHA SHINDE,sneha.shinde127@tcetmumbai.in,+91 9205162041,Information Technology,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0128,ATHARVA PANDEY,atharva.pandey128@tcetmumbai.in,+91 7627775418,Computer Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0129,SHRUTI GHOSH,shruti.ghosh129@tcetmumbai.in,+91 7407435032,Computer Engineering,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0130,MUHAMMAD SHARMA,muhammad.sharma130@tcetmumbai.in,+91 8516577333,Computer Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0131,SHRUTI KAMATH,shruti.kamath131@tcetmumbai.in,+91 9959043767,Electronics & Telecommunication,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0132,SAI HEGDE,sai.hegde132@tcetmumbai.in,+91 7123981570,Mechanical Engineering,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0133,SNEHA REDDY,sneha.reddy133@tcetmumbai.in,+91 9084624023,Civil Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0134,POOJA PATIL,pooja.patil134@tcetmumbai.in,+91 7705825197,External Guest / Attendee,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0135,SAHIL JOSHI,sahil.joshi135@tcetmumbai.in,+91 9465599585,Mechanical Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0136,GAURAV MEHTA,gaurav.mehta136@tcetmumbai.in,+91 7046439287,Mechanical Engineering,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0137,ROHAN PILLAI,rohan.pillai137@tcetmumbai.in,+91 7358433879,External Guest / Attendee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0138,PRANAV REDDY,pranav.reddy138@tcetmumbai.in,+91 9482226509,Mechanical Engineering,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0139,ANIKET SHAH,aniket.shah139@tcetmumbai.in,+91 9535088823,Internet of Things,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0140,KUNAL ROY,kunal.roy140@tcetmumbai.in,+91 7634684363,Information Technology,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0141,TUSHAR MISHRA,tushar.mishra141@tcetmumbai.in,+91 8322150456,Information Technology,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0142,ALOK SEN,alok.sen142@tcetmumbai.in,+91 8472404419,Information Technology,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0143,KHUSHI NAIR,khushi.nair143@tcetmumbai.in,+91 7998283306,Mechanical Engineering,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0144,ANIKA KAPOOR,anika.kapoor144@tcetmumbai.in,+91 7631842502,Artificial Intelligence & Data Science,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0145,KABIR CHAVAN,kabir.chavan145@tcetmumbai.in,+91 7600572421,Civil Engineering,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0146,HARSH BANERJEE,harsh.banerjee146@tcetmumbai.in,+91 9411974592,Civil Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0147,ANIKET SINGHAL,aniket.singhal147@tcetmumbai.in,+91 9649640526,Organizing Committee,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0148,PARI MALHOTRA,pari.malhotra148@tcetmumbai.in,+91 7124253377,Internet of Things,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0149,UTKARSH PATEL,utkarsh.patel149@tcetmumbai.in,+91 8399745658,Computer Engineering,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0150,SHUBHAM KAPOOR,shubham.kapoor150@tcetmumbai.in,+91 9008297524,Internet of Things,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0151,PRATHAMESH BANERJEE,prathamesh.banerjee151@tcetmumbai.in,+91 7945152556,Mechanical Engineering,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0152,DEEPAK JOSHI,deepak.joshi152@tcetmumbai.in,+91 9370366167,Internet of Things,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0153,VEDA PILLAI,veda.pillai153@tcetmumbai.in,+91 9664223188,Information Technology,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0154,SAMARTH MALHOTRA,samarth.malhotra154@tcetmumbai.in,+91 7843351767,Artificial Intelligence & Data Science,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0155,ADITI MEHTA,aditi.mehta155@tcetmumbai.in,+91 8952512911,Electronics & Telecommunication,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0156,SIDDHARTH BANSAL,siddharth.bansal156@tcetmumbai.in,+91 8774642399,Computer Engineering,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0157,SANKET GUPTA,sanket.gupta157@tcetmumbai.in,+91 8147263961,External Guest / Attendee,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0158,KARAN MENON,karan.menon158@tcetmumbai.in,+91 9482997453,Mechanical Engineering,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0159,GAURAV PATIL,gaurav.patil159@tcetmumbai.in,+91 7029528829,Civil Engineering,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0160,SAURABH MISHRA,saurabh.mishra160@tcetmumbai.in,+91 8072739088,External Guest / Attendee,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0161,CHINMAY CHAKRABORTY,chinmay.chakraborty161@tcetmumbai.in,+91 7808400754,Artificial Intelligence & Data Science,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0162,SHAURYA MEHTA,shaurya.mehta162@tcetmumbai.in,+91 9196403920,Organizing Committee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0163,DHRUV PAWAR,dhruv.pawar163@tcetmumbai.in,+91 9850369920,Civil Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0164,KUNAL REDDY,kunal.reddy164@tcetmumbai.in,+91 7903431777,Computer Engineering,CONFIRMED,2026-08-26
TCET-GIVEAWAY-0165,SAHIL ROY,sahil.roy165@tcetmumbai.in,+91 8214602605,Organizing Committee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0166,SANKET GOEL,sanket.goel166@tcetmumbai.in,+91 7925246597,Information Technology,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0167,ANANYA TIWARI,ananya.tiwari167@tcetmumbai.in,+91 7736568482,Computer Engineering,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0168,VARUN JAIN,varun.jain168@tcetmumbai.in,+91 7074486108,Mechanical Engineering,CONFIRMED,2026-08-26
TCET-GIVEAWAY-0169,VIKAS BANERJEE,vikas.banerjee169@tcetmumbai.in,+91 8786149817,Organizing Committee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0170,VEDA VERMA,veda.verma170@tcetmumbai.in,+91 9690590203,Internet of Things,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0171,VIVAAN ROY,vivaan.roy171@tcetmumbai.in,+91 9997705184,Mechanical Engineering,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0172,SIDDHARTH TIWARI,siddharth.tiwari172@tcetmumbai.in,+91 8013879135,Mechanical Engineering,CONFIRMED,2026-08-22
TCET-GIVEAWAY-0173,VIHAAN KAPOOR,vihaan.kapoor173@tcetmumbai.in,+91 8070129036,Artificial Intelligence & Data Science,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0174,AARAV VERMA,aarav.verma174@tcetmumbai.in,+91 8017532242,Civil Engineering,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0175,AKASH DUBEY,akash.dubey175@tcetmumbai.in,+91 8144342563,Artificial Intelligence & Data Science,CONFIRMED,2026-08-26
TCET-GIVEAWAY-0176,YASH HEGDE,yash.hegde176@tcetmumbai.in,+91 7704496183,Electronics & Telecommunication,CONFIRMED,2026-08-24
TCET-GIVEAWAY-0177,ALOK PANDEY,alok.pandey177@tcetmumbai.in,+91 7153818137,Organizing Committee,CONFIRMED,2026-08-17
